site,category,Google hits ,FB likes,Twitter ,political alignment?,URL,Notes
The Angry Patriot,clickbait  ,"379,000","1,096,662",-,right,http://www.angrypatriotmovement.com/,
The Anti-Media,conspiracy  ,"222,000","1,948,859",39200,,http://theantimedia.org/,
The Blacksphere,clickbait  ,"193,000","523,125",-,right,http://theblacksphere.net/,
The Blaze,clickbait  ,"3,120,000","1,958,324",581000,right,http://www.theblaze.com/,
The Blue Route,clickbait  ,"546,000","21,086",1002,left,http://www.blue-route.org/blog/,
The Boston Tribune,clickbait  ,"16,000,000",-,204,right,http://thebostontribune.com/,
The Common Sense Show,conspiracy  ,"171,000","5,604",2171,,http://www.thecommonsenseshow.com/,
The Constitution,clickbait  ,"182,000,000","948,593",2193,right,http://constitution.com/,
The Controversial Files,conspiracy  ,"4,380,000","310,792",-,,http://www.thecontroversialfiles.net/,
The D.C. Clothesline,conspiracy  ,"80,400","108,345",13900,,http://www.dcclothesline.com/,
The Daily Banter,clickbait  ,"81,700","25,139",5417,left,http://thedailybanter.com/,
The Daily Sheeple,conspiracy  ,"250,000","56,079",8319,,http://www.thedailysheeple.com/,
The Daily Wire,clickbait  ,"25,200","1,388,359",21800,right,http://www.dailywire.com/,
The European Union Times,conspiracy  ,"129,000,000",348,988,,http://www.eutimes.net/,
The Event Chronicle,conspiracy  ,"117,000","60,352",2983,,http://www.theeventchronicle.com/#,
The Federalist,clickbait  ,"4,040,000","45,518",49200,right,http://thefederalist.com/,
The Federalist Papers Project,clickbait  ,"522,000","2,237,993",7133,right,http://thefederalistpapers.org/about,
The Federation for American Immigration Reform,clickbait  ,"1,150,000","1,127,555",72700,right,http://www.fairus.org/,
The Forbidden Knowledge,conspiracy  ,"993,000",-,-,,http://www.theforbiddenknowledge.com/,
The Gateway Pundit,clickbait  ,"670,000","585,736",60700,right,http://www.thegatewaypundit.com/,
The Last Great Stand,conspiracy  ,"237,000,000","119,303",72600,,https://thelastgreatstand.com/,
The Liberty Beacon,conspiracy  ,"50,300","22,578",222,,http://www.thelibertybeacon.com/,
The Mind Unleashed,conspiracy  ,"977,000","7,843,017",13000,,http://themindunleashed.com/,
The Morning Star,clickbait  ,"5,250,000","10,988",32000,left,https://www.morningstaronline.co.uk/,
The New Civil Rights Movement,clickbait  ,"31,000,000","369,974",7135,left,http://www.thenewcivilrightsmovement.com/,
The Onion ,satire ,"3,300,000","6,134,195",9210000,centrist,http://www.theonion.com/,
The Other 98% ,clickbait  ,"3,900","3,583,520",13900,left,http://other98.com/,
The Patriot Post,clickbait  ,"198,000","518,534",5895,right,https://patriotpost.us/,
The Post and Mail,clickbait  ,"266,000","4,949",719,right,http://www.thepostandmail.com/,
The Progressive,clickbait  ,"19,100,000","38,410",29400,left,http://www.progressive.org/,
The Real Strategy,clickbait  ,"92,800","8,700",2798,right,https://therealstrategy.com/,
The Rebel,clickbait  ,"16,100,000","56,902",44200,right,http://www.therebel.media/,
The Right Scoop,clickbait  ,"209,000","98,533",14300,right,http://therightscoop.com/,
The Root,clickbait  ,"66,700,000","889,604",288000,left,http://www.theroot.com/,
The Rundown Live,conspiracy  ,"44,700","19,226",2519,,http://therundownlive.com/,
The Stately Harold,satire ,"2,890","1,890",-,none,http://vindoga.wixsite.com/thestatelyharold,
The Truth About Cancer,junk science,"513,000","775,430",4092,right,https://thetruthaboutcancer.com/,
The Truth Seeker,conspiracy  ,"609,000","34,611",81900,,http://www.thetruthseeker.co.uk/,
The US Patriot,clickbait  ,"147,000",-,-,right,http://theuspatriot.com/,
The Walrus,clickbait  ,"2,840,000",-,69200,left,https://thewalrus.ca/,
TheGrio,clickbait  ,"733,000","970,095",73100,left,http://thegrio.com/,
TheLapine.ca,satire ,"23,300","5,275",983,left,https://thelapine.ca/,
TheNewEuropean,,"488,000","7,520",16400,centre/left??,http://www.theneweuropean.co.uk/home,
TheNewsNerd,fake news,"12,800","5,615",209,unknown,http://www.thenewsnerd.com/,
TheSpoof,satire ,"487,000",358,754,none,http://www.thespoof.com/,
TheUsPatriot.com,conspiracy  ,"25,900",,,right ,http://theuspatriot.com/,"Realorsatire.com concludes: theuspatriot.com is full of anti-Obama, anti-progress, anti-Left, anti-Democrat non-news, that either they are being satirical, or they are just being assholes who are pushing wholly incorrect — and already disproved — information."
Think Progress,clickbait  ,"1,870,000","1,759,622",647000,left,https://thinkprogress.org/,
Thrive Movement,conspiracy  ,"301,000","303,588",25800,,http://www.thrivemovement.com/,
TMZ WorldNews,satire ,"96,900","344,543",33829,,http://tmzworldnews.com/,
Topinfo Post,conspiracy  ,"60,100","38,663",5013,,http://www.topinfopost.com/,
Townhall,clickbait  ,"18,600,000","1,274,178",91200,right,http://townhall.com/,
Tribune UK,clickbait  ,"16,300,000","1,985",4757,left,http://www.tribunemagazine.org/,
True Activist,clickbait  ,"625,000","1,361,960",23200,left,http://www.trueactivist.com/,
True Pundit,conspiracy  ,"75,300","1,379",24400,,http://truepundit.com/,
Truth and Action,conspiracy  ,"520,000","790,511",46,,http://www.truthandaction.org/,
Truth Broadcasting Network,conspiracy  ,"1,970,000",-,-,,http://truthbroadcastnetwork.com/,
Truth In Media,clickbait  ,"296,000","342,292",62300,right,http://truthinmedia.com/,
Truth Out,clickbait  ,"748,000","748,166",146000,left,http://www.truth-out.org/,
Truth Revolt,clickbait  ,"297,000","37,068",9667,right,http://www.truthrevolt.org/,
Truthdig,clickbait  ,"569,000","226,911",64900,left,https://www.truthdig.com/,
TruthFeed,clickbait  ,"302,000","358,975",10600,right,http://truthfeed.com/,
TruthFrequencyRadio,conspiracy  ,"88,000","8,048",516,unknown,http://truthfrequencyradio.com/,
Twitchy,clickbait  ,"4,560,000","1,277,992",215000,right,http://twitchy.com/,
U.S. Chronicle,clickbait  ,"134,000",357,2,right,http://www.uschronicle.com/about-us/,
U.S. Herald,clickbait  ,"67,700",-,2516,right,http://usherald.com/,
Uncle Sam’s Misguided Children,conspiracy  ,"103,000","23,838",15600,,http://unclesamsmisguidedchildren.com/,
UnconfirmedSources,satire ,"689,000",-,90,unknown,http://unconfirmedsources.com/wp/,
Underground Health,junk science,"165,000","348,276",-,right,https://www.undergroundhealth.com/,
UpliftConnect,junk science,"366,000","633,386",2267,left,spiritual,
Uproxx,clickbait  ,"7,080,000","1,782,595",74700,left,http://uproxx.com/,
US Political Post,clickbait  ,401,-,-,left,http://uspoliticalpost.com/,
US Uncut,clickbait  ,"548,000","1,545,799",19000,left,http://usuncut.com/,
US.Blasting.News,clickbait  ,"67,800","49,236",2192,none,http://us.blastingnews.com/,
USA Hitman,conspiracy  ,"38,900",-,4629,,https://usahitman.com/,
USA Newsflash,conspiracy  ,"164,000","646,316",-,,http://www.usanewsflash.com/,
USA Politics Now,clickbait  ,"20,400","5,085",104,right,http://usapoliticsnow.com/,
USA Supreme,,"86,500,000","42,633",-,right,-,
VDARE,clickbait  ,"274,000","9,084",22000,right,http://www.vdare.com/,
Veterans Today,conspiracy  ,"808,000","41,008",32400,,http://www.veteranstoday.com/,
Vidmax,clickbait  ,"360,000",-,799,right,http://vidmax.com/,
Viral Liberty,conspiracy  ,"24,500",96,-,,http://viralliberty.com/,
Washington Free Beacon,clickbait  ,"3,380,000","720,727",67100,right,http://freebeacon.com/,
Washington Monthly,clickbait  ,"447,000","11,366",5510,left,http://washingtonmonthly.com/,
We Are Change,conspiracy  ,"607,000","449,451",55200,,http://wearechange.org/,
Weasel Zippers,clickbait  ,"11,800","3,613",20200,right,http://www.weaselzippers.us/,
Web Daily,clickbait  ,"258,000","3,404,128",78,right,https://www.webdaily.com/,
Weekly Standard,clickbait  ,"1,090,000","278,820",226000,right,http://www.weeklystandard.com/,
WeeklyWorldNews.com,satire ,"402,000","103,244",2915,left,http://weeklyworldnews.com/,
Western Journalism,clickbait  ,"1,950,000","4,493,372","30,700",right,http://www.westernjournalism.com/,
WhatDoesItMean,conspiracy  ,"1,540,000",n/a,n/a,,http://www.whatdoesitmean.com/,
Why Don’t You Try This,conspiracy  ,"108,000","853,482",-,,http://www.whydontyoutrythis.com/,
Winning Democrats,clickbait  ,"528,000","1,207,107",44,left,http://winningdemocrats.com/,
WitScience,satire ,"13,000","2,918",8,unknown,http://witscience.org/,
WND (World Net Daily),clickbait  ,"581,000","824,529",63500,right,http://www.wnd.com/,
Wonkette,clickbait  ,"551,000",,47000,left,http://wonkette.com/,
World News Daily Report,satire ,"108,000","27,394",95,left,http://worldnewsdailyreport.com/,
World Truth TV,junk science,"431,000","14,162",10800,right,http://worldtruth.tv/,
Young Conservatives,clickbait  ,"580,000","813,757",85900,right,http://www.youngcons.com/,
Young Turks,clickbait  ,"8,530,000","1,334,954",257000,left,https://tytnetwork.com/,
Your News Wire,conspiracy  ,"315,000","20,619",14600,,http://yournewswire.com/,
Z Magazine,clickbait  ,"199,000",855,326,left,https://zcomm.org/zmag/,
Zero Hedge,conspiracy  ,"2,740,000","14,833",373000,,http://www.zerohedge.com/,
