site,category,Google hits ,FB likes,Twitter ,political alignment?,URL,Notes
Collectively Conscious,conspiracy  ,"199,000","383,304",817,,http://collectivelyconscious.net/,
Commentary Magazine,clickbait  ,"260,000","49,952",22400,right,https://www.commentarymagazine.com/,
Common Dreams,clickbait  ,"1,270,000","48,800",360923,left,http://www.commondreams.org/,
Conscious Life News,junk science,"332,000","1,100,898",n/a,,http://consciouslifenews.com/,
Conservapedia,clickbait  ,"278,000","10,400",n/a,right,http://www.conservapedia.com/,
Conservative 101,clickbait  ,"452,000","1,685,838",n/a,right,https://conservative101.com/,
Conservative Daily Post,conspiracy  ,"3,650,000","448,838",316,,https://conservativedailypost.com/,
Conservative HQ,clickbait  ,"38,500","1,431",n/a,right,http://www.conservativehq.com/,
Conservative Outfitters,clickbait  ,"58,300","17,655",11800,right,https://www.conservativeoutfitters.com/,
Conservative Post,clickbait  ,"442,000","1,430,815",504,right,http://conservativepost.com/,
Conservative Review,clickbait  ,"672,000","1,484,445",67100,right,https://www.conservativereview.com/,
Conservative Spirit,clickbait  ,"6,180","5,659",n/a,right,http://conservativespirit.com/,
Conservative Tribune,clickbait  ,"1,240,000","3,319,110",75000,right,http://conservativetribune.com/,
Conspiracy Planet,conspiracy  ,"29,900",361,n/a,,http://www.conspiracyplanet.com/,
Constitution Rising,clickbait  ,"20,900","60,915",28000,right,http://rickwells.us/,
Controversial Times,clickbait  ,"38,500","5,316",n/a,right,http://controversialtimes.com/,
CountdownToZeroTime,conspiracy  ,"11,000",n/a,n/a,,http://countdowntozerotime.com/,
Counter Current News,conspiracy  ,"257,000","403,378",n/a,,http://countercurrentnews.com/,
CounterPsyOps,conspiracy  ,"13,700",n/a,1563,,https://counterpsyops.com/,
CounterPunch,clickbait  ,"1,760,000","91,629",43100,left,http://www.counterpunch.org/,
CreamBMP,satire ,"39,100","64,779",n/a,,http://creambmp.com/,
Crime Prevention Research Center,clickbait  ,"1,070,000","4,780",925,right,http://crimeresearch.org/,
Crooks and Liars,clickbait  ,"558,000","115,879",56100,left,http://crooksandliars.com/,
CS Globe,conspiracy  ,"40,100","13,956",558,,http://csglobe.com/,
Daily Caller,clickbait  ,"3,210,000","3,769,844",239000,right,http://dailycaller.com/,
Daily Dot,clickbait  ,"2,240,000","2,345,551",276000,left,http://www.dailydot.com/,
Daily Headlines,conspiracy  ,"1,950,000","309,452",63,,http://dailyheadlines.net/,
Daily Kos,clickbait  ,"3,580,000",n/a,8444,left,http://www.dailykos.com/,
Daily News Bin,clickbait  ,"46,900","63,764",28300,left,http://www.dailynewsbin.com/,
Daily Signal,clickbait  ,"702,000","656,924",38700,right,http://dailysignal.com/,
Daily Wire,clickbait  ,"742,000","1,388,088",21600,centre,http://www.dailywire.com/,
DailyBuzzLive,satire ,"71,400","195,476",108000,unknown,http://dailybuzzlive.com/,
DailyCurrant,satire ,"93,200","86,044",5531,left,http://dailycurrant.com/,
DailyOccupation,,"74,000,000",n/a,n/a,none,http://dailyoccupation.com/,
DailySnark,satire ,"92,000","24,500",178,,http://dailysnark.com/,
Dallas Voice,clickbait  ,"159,000","10,333",19100,left,http://www.dallasvoice.com/,
Data Asylum,conspiracy  ,"11,400",n/a,171,,http://www.dataasylum.com/,
David Horowitz Freedom Center,clickbait  ,"46,100",n/a,1901,right,http://www.horowitzfreedomcenter.org/,
David Wolfe,junk science,"4,110,000","8,548,023",88000,,https://www.davidwolfe.com/,
DC Gazette,conspiracy  ,"144,000","423,332",3103,,http://thedcgazette.com/,
DCClothesLine,clickbait  ,"207,000","108,309",13900,right,http://www.dcclothesline.com/,
Democratic Underground,clickbait  ,"976,000","75,033",7469,left,http://www.democraticunderground.com/,
Denver Guardian,,"546,000",n/a,n/a,,-,
DerfMagazine,satire ,"5,710","4,048",7628,unknown,http://www.derfmagazine.com/,
Disclose TV,conspiracy  ,"819,000","1,993,665",37500,,http://www.disclose.tv/,
Discover the Networks,clickbait  ,"384,000","3,115",652,right,http://www.discoverthenetworks.org/,
Discovery Institute,clickbait  ,"400,000","7,006",659,right,http://www.discovery.org/,
Dissent Magazine,clickbait  ,"118,000","23,453",34400,left,https://www.dissentmagazine.org/,
Downtrend,clickbait  ,"1,950,000","151,206",1921,right,http://downtrend.com/,
Drudge Report,clickbait  ,"1,840,000","1,130,862",1100000,right,http://www.drudgereport.com/,
DuffleBlog,satire ,"111,000","255,672",20346,centrist,http://www.duffelblog.com/,
Eagle Rising,clickbait  ,"306,000","658,259",4415,right,http://eaglerising.com/,
Economy in Crisis,clickbait  ,"334,000",95,2784,left,http://economyincrisis.org/,
EcoWatch,conspiracy  ,"579,000","191,992",126000,,http://www.ecowatch.com/,
Educate-Yourself,conspiracy  ,"5,080,000",n/a,n/a,,http://educate-yourself.org/,
Electronic Intifada,clickbait  ,"438,000","80,700",169994,left,https://electronicintifada.net/,
Embols,clickbait  ,"262,000","7,476",n/a,right,http://embols.com/,
Empire Herald,fake news,"21,700","43,711",165000,left,https://empireherald.com/,
Empire News ,satire ,"462,000","21,884",n/a,,http://empirenews.net/,
EmpireSports.co,satire ,"152,000","3,202",477,,http://www.empiresports.co/,
Ending the Fed News,conspiracy  ,"77,400","358,922",187,,http://endingthefed.com/,
EnduringVision,satire ,"341,000",-,78,unknown,http://www.enduringvision.com/,
Everyday Feminism,clickbait  ,"419,000","521,499",69400,left,http://everydayfeminism.com/,
Family Research Council,clickbait  ,"434,000","192,666",24400,right,http://www.frc.org/,
Family Security Matters,clickbait  ,"156,000","8,262",694,right,http://www.familysecuritymatters.org/,
Federalist Press,clickbait  ,"7,530","3,426",n/a,right,http://federalistpress.com/mission,
Food Babe,junk science,"545,000","1,143,658",102000,right,http://foodbabe.com/,
Forward Progressives,clickbait  ,"157,000","349,211",6107,left,http://www.forwardprogressives.com/,
Fox News,clickbait  ,"19,400,000","13,999,658",11900000,right,http://www.foxnews.com/,
Freakout Nation,clickbait  ,"179,000","322,157",8844,left,http://freakoutnation.com/,
Freedom Daily,clickbait  ,"532,000","1,519,778",11900,right,http://freedomdaily.com/,
Freedom Outpost,clickbait  ,"290,000","2,009",105362,right,http://freedomoutpost.com/,
Freedom Works,clickbait  ,"153,000","4,844,252",261000,right,http://www.freedomworks.org/,
Freethought Project,clickbait  ,"533,000","1,733,579",10000,left,http://thefreethoughtproject.com/,
From the Trenches World Report,conspiracy  ,"48,000",249,204,,http://www.fromthetrenchesworldreport.com/,
Frontpage Magazine,clickbait  ,"430,000","36,560",6538,right,http://www.frontpagemag.com/,
Future in America,clickbait  ,"188,000","694,661",2096,right,http://www.futureinamerica.com/,
GeoEngineering Watch,conspiracy  ,"285,000","27,013",2805,,http://www.geoengineeringwatch.org/,
Global Research,conspiracy  ,"5,690,000","241,233",21900,,http://www.globalresearch.ca/,
GomerBlog,satire ,"98,600","159,190",11208,,http://gomerblog.com/,
Gone Left,clickbait  ,"131,000","94,206",n/a,left,http://goneleft.com/,
Government Accountability Institute,clickbait  ,"7,290","12,743",9549,right,http://www.g-a-i.org/,
Government Slaves,conspiracy  ,"22,000",n/a,2031,,http://govtslaves.info/,
Greenville Gazette,clickbait  ,"212,000","833,321",n/a,left,http://www.greenvillegazette.com/,
Groopspeak,clickbait  ,"199,000","493,524",641,left,http://news.groopspeak.com/,
Guardian Liberty Voice,clickbait  ,"270,000","3,557",2326,left,http://guardianlv.com/,
Gulag Bound,conspiracy  ,"32,100","3,083",20400,Right,http://gulagbound.com/,
Hang the Bankers,conspiracy  ,"106,000","17,613",10200,,http://www.hangthebankers.com/,
Health Eternally,junk science,"530,000","10,048",n/a,right,http://healtheternally.com/,
Health Impact News,junk science,"249,000","477,349",59300,right,https://healthimpactnews.com/,
Health Nut News,junk science,"204,000","432,629",n/a,right,http://www.healthnutnews.com/,
Health Sciences Institute,junk science,"381,000","10,123",n/a,right,http://hsionline.com/,
Heartland Institute,clickbait  ,"296,000","100,569",12800,right,https://www.heartland.org/,
Heritage Foundation,clickbait  ,"4,820,000",530,57200,right,http://www.heritage.org/,
Hot Air,clickbait  ,"45,100,000","828,052",13100,right,http://hotair.com/,
Hudson Institute,clickbait  ,"582,000","9,009",28400,right,http://www.hudson.org/,
Human Events,clickbait  ,"1,190,000","744,961",31600,right,http://humanevents.com/,
Humans Are Free,conspiracy  ,"386,000","35,396",n/a,,http://humansarefree.com/,
Huzlers,satire ,"56,400","7,183",6897,none,http://huzlers.com/,
I have the Truth,clickbait  ,"79,300",n/a,n/a,right,https://ihavethetruth.com/,
I Love My Freedom,clickbait  ,"337,000",n/a,n/a,right,http://ilovemyfreedom.org/,
If You Only News,clickbait  ,"81,000","569,002",781,left,http://www.ifyouonlynews.com/,
IJR(Independent Journal Review),,"328,000","441,182",n/a,centre-right,http://ijr.com/,
Illuminati News,conspiracy  ,"96,100","3,391",4567,,http://www.illuminati-news.com/,
In These Times,clickbait  ,"11,300,000","75,831",20700,left,http://inthesetimes.com/,
Infinite Unknown,conspiracy  ,"81,800",n/a,176,,http://www.infiniteunknown.net/,
Infowars,conspiracy  ,"4,910,000","630,491",191000,,http://www.infowars.com/,
Inquisitr,,"7,520,000","3,006,077",54400,centrist/left,http://www.inquisitr.com/,Multinews aggregator
Institute for Creation Research (IRC),conspiracy  ,"1,470,000","136,403",5428,,http://www.icr.org/,
Institute for Responsible Technology,conspiracy  ,"378,000","111,756",6354,,http://responsibletechnology.org/,
Intellihub,conspiracy  ,"128,000","28,269",21200,right,https://www.intellihub.com/,
iTagLive,,435,42,3,,https://itaglive.com/,
Jacobin,clickbait  ,"2,090,000","210,496",91400,left,https://www.jacobinmag.com/,
Jihad Watch,clickbait  ,"597,000","50,829",54400,right,https://www.jihadwatch.org/,
JonesReport,conspiracy  ,"90,500",n/a,n/a,,http://jonesreport.com/,
Jookos News,clickbait  ,"1,180","65,648",1022,right,http://jookosnews.tumblr.com/,
Judicial Watch,clickbait  ,"1,690,000","3,410,932",365000,right,http://www.judicialwatch.org/,
Knowledge of Today,conspiracy  ,"85,700","1,160,982",11400,,http://www.knowledgeoftoday.org/,
Knox Report,clickbait  ,"26,800,000","7,879",n/a,right,http://knoxreport.com/,
Lavender Magazine,clickbait  ,"35,000","11,486",6524,left,http://www.lavendermagazine.com/,
Left Action,clickbait  ,"441,000","1,287,723",28700,left,http://leftaction.com/,
Lew Rockwell,clickbait  ,"532,000","103,552",48200,right,https://www.lewrockwell.com/,
Liberal America,clickbait  ,"456,000","694,190",8526,left,http://www.liberalamerica.org/,
Liberals Unite (Samuel Warde),clickbait  ,"482,000","200,343",1710,left,http://samuel-warde.com/,
Liberty Alliance,clickbait  ,"356,000","72,141",3596,right,http://libertyalliance.com/,
Liberty News,conspiracy  ,"279,000","1,429,985",7205,,http://libertynews.com/,
Liberty Unyielding,clickbait  ,"129,000","92,500",1882,right,http://libertyunyielding.com/,
Liberty Videos,conspiracy  ,"20,600",n/a,1226,,http://libertyvideos.org/,
Liberty Writers News,clickbait  ,"42,200","832,462",41300,right,http://libertywritersnews.com/,
LibertyTalk.FM,clickbait  ,"36,800","10,152",195,right,http://libertytalk.fm/,
LifeZette,clickbait  ,"729,000","668,892",20200,right,https://www.lifezette.com/,
Live Free Live Natural,junk science,"31,500","37,325",n/a,right,https://www.facebook.com/livefreelivenatural/,
LMR/LibertyMovementRadio,,"5,370","2,457",n/a,right,http://libertymovementradio.com/,
Manchester Union Leader,clickbait  ,"46,600","14,341",39700,right,http://www.unionleader.com/,
Media Matters,clickbait  ,"1,420,000","665,434",245000,left,https://mediamatters.org/,
Media Research Center,clickbait  ,"458,000","1,562,273",150000,right,http://www.mrc.org/,
Media Zone,clickbait  ,"1,070,000","3,046",7865,right,http://www.mediazone.com.hk/,
Mediaite,clickbait  ,"1,550,000","225,217",123000,left,http://www.mediaite.com/,
MediaMass,celebrity,"685,000","36,000",,none,http://en.mediamass.net/,
Mercola,junk science,"4,500,000","1,482,835",248000,,http://www.mercola.com/,
Modern Liberals,clickbait  ,"96,300","54,511",97,left,http://modernliberals.com/,
Molon Labe Media,clickbait  ,"9,250","11,839",193,right,http://www.molonlabemedia.com/,
Morning Ledger,conspiracy  ,"258,000","34,303",57,,http://www.morningledger.com/,
Morning News USA,clickbait  ,"244,000","8,774",5703,unknown,http://www.morningnewsusa.com/,
Move On,clickbait  ,"25,100,000","1,013,838",191155,left,http://front.moveon.org/,
MyZoneToday,clickbait  ,"3,560",n/a,n/a,right,http://myzonetoday.com/,
NahaDaily,satire ,"7,090","2,371",,,https://www.facebook.com/NahaDaily/,
Nation of Change,clickbait  ,"352,000","102,838",11300,left,http://www.nationofchange.org/,
National Policy Institute,clickbait  ,"244,000","3,798",n/a,right,http://www.npiamerica.org/,
National Report,satire ,"1,500,000","28,014",4139,centrist,http://nationalreport.net/,
National Review,clickbait  ,"3,750,000","1,034,538",205000,right,http://www.nationalreview.com/,
National Rifle Association (NRA),clickbait  ,"2,170,000","5,087,364",413000,right,https://home.nra.org/,
Natural Cures Not Medicine,junk science,"662,000","2,060,645",,right,https://www.facebook.com/NaturalCuresNotMedicine/,
NaturalNews.com,junk science,"2,400,000","2,046,926",109000,right,http://www.naturalnews.com/,
NC Scooper,satire ,"16,100","41,312",3417,none,https://www.ncscooper.com/,
NCT (New Century Times),clickbait  ,"37,200","1,176,345",14800,right,http://newcenturytimes.com/,
Nevo News,clickbait  ,"2,340,000","145,100",38,right,http://www.nevo.news/,
New Left Review,clickbait  ,"486,000","47,105",24300,left,https://newleftreview.org/,
New Republic,clickbait  ,"5,480,000","156,870",150000,left,https://newrepublic.com/,
News Corpse,clickbait  ,"2,649,301","17,163",1746,left,http://newscorpse.com/,
News Examiner,clickbait  ,"128,000",344,9,centrist,newsexaminer.net,allegedly mixed to circumvent FB crackdown on fake news
News With Views,clickbait  ,"137,000","3,280",619,right,http://www.newswithviews.com/,
News10Live,fake news,"77,700","2,585",149000,unknown,http://news10live.com/,
NewsBiscuit,satire ,"49,600","9,112",12700,centrist,http://www.newsbiscuit.com/,
Newsbusters,clickbait  ,"1,260,000","2,649,301",162000,right,http://www.newsbusters.org/,
NewsBuzzDaily,satire ,"2,530","4,677",175,,https://www.facebook.com/NewsBuzzDaily,They state: 'a combination of real shocking news and satire news'
NewsHounds,clickbait  ,"254,000","2,955",2300,left,http://www.newshounds.us/,
